y,x1,x2,x3,x4
41.599998,42.349998,42.049999,41.75,41.5
42.099998,41.599998,42.349998,42.049999,41.75
42.049999,42.099998,41.599998,42.349998,42.049999
41.849998,42.049999,42.099998,41.599998,42.349998
41.700001,41.849998,42.049999,42.099998,41.599998
41.400002,41.700001,41.849998,42.049999,42.099998
41,41.400002,41.700001,41.849998,42.049999
40.900002,41,41.400002,41.700001,41.849998
42.650002,40.900002,41,41.400002,41.700001
43.75,42.650002,40.900002,41,41.400002
44,43.75,42.650002,40.900002,41
44.400002,44,43.75,42.650002,40.900002
43.900002,44.400002,44,43.75,42.650002
43.900002,43.900002,44.400002,44,43.75
43.75,43.900002,43.900002,44.400002,44
43.450001,43.75,43.900002,43.900002,44.400002
43,43.450001,43.75,43.900002,43.900002
43.849998,43,43.450001,43.75,43.900002
44.950001,43.849998,43,43.450001,43.75
45.099998,44.950001,43.849998,43,43.450001
45.5,45.099998,44.950001,43.849998,43
45.299999,45.5,45.099998,44.950001,43.849998
45.650002,45.299999,45.5,45.099998,44.950001
45.849998,45.650002,45.299999,45.5,45.099998
45.900002,45.849998,45.650002,45.299999,45.5
46.75,45.900002,45.849998,45.650002,45.299999
46.75,46.75,45.900002,45.849998,45.650002
46.150002,46.75,46.75,45.900002,45.849998
46.349998,46.150002,46.75,46.75,45.900002
46.75,46.349998,46.150002,46.75,46.75
47,46.75,46.349998,46.150002,46.75
47.400002,47,46.75,46.349998,46.150002
47.650002,47.400002,47,46.75,46.349998
46.650002,47.650002,47.400002,47,46.75
47.450001,46.650002,47.650002,47.400002,47
47.299999,47.450001,46.650002,47.650002,47.400002
47.349998,47.299999,47.450001,46.650002,47.650002
48.900002,47.349998,47.299999,47.450001,46.650002
47.549999,48.900002,47.349998,47.299999,47.450001
47.700001,47.549999,48.900002,47.349998,47.299999
48.599998,47.700001,47.549999,48.900002,47.349998
48,48.599998,47.700001,47.549999,48.900002
47.599998,48,48.599998,47.700001,47.549999
48.450001,47.599998,48,48.599998,47.700001
48,48.450001,47.599998,48,48.599998
48.049999,48,48.450001,47.599998,48
48.5,48.049999,48,48.450001,47.599998
47.150002,48.5,48.049999,48,48.450001
46.099998,47.150002,48.5,48.049999,48
46.049999,46.099998,47.150002,48.5,48.049999
46.400002,46.049999,46.099998,47.150002,48.5
46.549999,46.400002,46.049999,46.099998,47.150002
46.400002,46.549999,46.400002,46.049999,46.099998
46.200001,46.400002,46.549999,46.400002,46.049999
46.349998,46.200001,46.400002,46.549999,46.400002
46.799999,46.349998,46.200001,46.400002,46.549999
42.900002,46.799999,46.349998,46.200001,46.400002
42.099998,42.900002,46.799999,46.349998,46.200001
42.25,42.099998,42.900002,46.799999,46.349998
42.150002,42.25,42.099998,42.900002,46.799999
42.099998,42.150002,42.25,42.099998,42.900002
41.799999,42.099998,42.150002,42.25,42.099998
41.400002,41.799999,42.099998,42.150002,42.25
41,41.400002,41.799999,42.099998,42.150002
41.200001,41,41.400002,41.799999,42.099998
40.650002,41.200001,41,41.400002,41.799999
40.450001,40.650002,41.200001,41,41.400002
41.200001,40.450001,40.650002,41.200001,41
41,41.200001,40.450001,40.650002,41.200001
40.400002,41,41.200001,40.450001,40.650002
41.349998,40.400002,41,41.200001,40.450001
41.799999,41.349998,40.400002,41,41.200001
42.700001,41.799999,41.349998,40.400002,41
42.599998,42.700001,41.799999,41.349998,40.400002
42.5,42.599998,42.700001,41.799999,41.349998
42.049999,42.5,42.599998,42.700001,41.799999
41.950001,42.049999,42.5,42.599998,42.700001
42.5,41.950001,42.049999,42.5,42.599998
42.25,42.5,41.950001,42.049999,42.5
41.75,42.25,42.5,41.950001,42.049999
42.049999,41.75,42.25,42.5,41.950001
42.150002,42.049999,41.75,42.25,42.5
43,42.150002,42.049999,41.75,42.25
43.650002,43,42.150002,42.049999,41.75
44.299999,43.650002,43,42.150002,42.049999
44.049999,44.299999,43.650002,43,42.150002
44.049999,44.049999,44.299999,43.650002,43
43.849998,44.049999,44.049999,44.299999,43.650002
43.849998,43.849998,44.049999,44.049999,44.299999
43.650002,43.849998,43.849998,44.049999,44.049999
43.799999,43.650002,43.849998,43.849998,44.049999
44.25,43.799999,43.650002,43.849998,43.849998
44,44.25,43.799999,43.650002,43.849998
44,44,44.25,43.799999,43.650002
43.599998,44,44,44.25,43.799999
43.650002,43.599998,44,44,44.25
43.150002,43.650002,43.599998,44,44
43.299999,43.150002,43.650002,43.599998,44
43.25,43.299999,43.150002,43.650002,43.599998
43.450001,43.25,43.299999,43.150002,43.650002
43.299999,43.450001,43.25,43.299999,43.150002
43.25,43.299999,43.450001,43.25,43.299999
42.700001,43.25,43.299999,43.450001,43.25
42.349998,42.700001,43.25,43.299999,43.450001
42.049999,42.349998,42.700001,43.25,43.299999
42.400002,42.049999,42.349998,42.700001,43.25
42.849998,42.400002,42.049999,42.349998,42.700001
42.299999,42.849998,42.400002,42.049999,42.349998
42.900002,42.299999,42.849998,42.400002,42.049999
43,42.900002,42.299999,42.849998,42.400002
42.75,43,42.900002,42.299999,42.849998
43.400002,42.75,43,42.900002,42.299999
43.5,43.400002,42.75,43,42.900002
44.200001,43.5,43.400002,42.75,43
44.150002,44.200001,43.5,43.400002,42.75
43.75,44.150002,44.200001,43.5,43.400002
43.950001,43.75,44.150002,44.200001,43.5
43.700001,43.950001,43.75,44.150002,44.200001
43.5,43.700001,43.950001,43.75,44.150002
43.5,43.5,43.700001,43.950001,43.75
43.349998,43.5,43.5,43.700001,43.950001
43.049999,43.349998,43.5,43.5,43.700001
43.099998,43.049999,43.349998,43.5,43.5
43.5,43.099998,43.049999,43.349998,43.5
43.450001,43.5,43.099998,43.049999,43.349998
43.099998,43.450001,43.5,43.099998,43.049999
43.150002,43.099998,43.450001,43.5,43.099998
43.299999,43.150002,43.099998,43.450001,43.5
42.799999,43.299999,43.150002,43.099998,43.450001
42.799999,42.799999,43.299999,43.150002,43.099998
42.849998,42.799999,42.799999,43.299999,43.150002
43.299999,42.849998,42.799999,42.799999,43.299999
44.75,43.299999,42.849998,42.799999,42.799999
44.849998,44.75,43.299999,42.849998,42.799999
45.049999,44.849998,44.75,43.299999,42.849998
46.200001,45.049999,44.849998,44.75,43.299999
46.150002,46.200001,45.049999,44.849998,44.75
46.450001,46.150002,46.200001,45.049999,44.849998
46.150002,46.450001,46.150002,46.200001,45.049999
46.099998,46.150002,46.450001,46.150002,46.200001
46.450001,46.099998,46.150002,46.450001,46.150002
46.25,46.450001,46.099998,46.150002,46.450001
45.450001,46.25,46.450001,46.099998,46.150002
45.099998,45.450001,46.25,46.450001,46.099998
46,45.099998,45.450001,46.25,46.450001
46.099998,46,45.099998,45.450001,46.25
45.799999,46.099998,46,45.099998,45.450001
46.450001,45.799999,46.099998,46,45.099998
46.349998,46.450001,45.799999,46.099998,46
46.299999,46.349998,46.450001,45.799999,46.099998
46.799999,46.299999,46.349998,46.450001,45.799999
47.450001,46.799999,46.299999,46.349998,46.450001
47.400002,47.450001,46.799999,46.299999,46.349998
47.150002,47.400002,47.450001,46.799999,46.299999
47.650002,47.150002,47.400002,47.450001,46.799999
47.950001,47.650002,47.150002,47.400002,47.450001
47.700001,47.950001,47.650002,47.150002,47.400002
47.799999,47.700001,47.950001,47.650002,47.150002
48.150002,47.799999,47.700001,47.950001,47.650002
47.599998,48.150002,47.799999,47.700001,47.950001
47.25,47.599998,48.150002,47.799999,47.700001
47.299999,47.25,47.599998,48.150002,47.799999
47.700001,47.299999,47.25,47.599998,48.150002
48.150002,47.700001,47.299999,47.25,47.599998
47.950001,48.150002,47.700001,47.299999,47.25
48.900002,47.950001,48.150002,47.700001,47.299999
48.799999,48.900002,47.950001,48.150002,47.700001
48.299999,48.799999,48.900002,47.950001,48.150002
48.349998,48.299999,48.799999,48.900002,47.950001
48.549999,48.349998,48.299999,48.799999,48.900002
48.950001,48.549999,48.349998,48.299999,48.799999
48.599998,48.950001,48.549999,48.349998,48.299999
48.950001,48.599998,48.950001,48.549999,48.349998
49,48.950001,48.599998,48.950001,48.549999
48.5,49,48.950001,48.599998,48.950001
48.5,48.5,49,48.950001,48.599998
48.849998,48.5,48.5,49,48.950001
48.700001,48.849998,48.5,48.5,49
44.900002,48.700001,48.849998,48.5,48.5
45.150002,44.900002,48.700001,48.849998,48.5
45,45.150002,44.900002,48.700001,48.849998
45.5,45,45.150002,44.900002,48.700001
45.099998,45.5,45,45.150002,44.900002
45.950001,45.099998,45.5,45,45.150002
45.799999,45.950001,45.099998,45.5,45
45.799999,45.799999,45.950001,45.099998,45.5
46,45.799999,45.799999,45.950001,45.099998
46.099998,46,45.799999,45.799999,45.950001
46.450001,46.099998,46,45.799999,45.799999
46.950001,46.450001,46.099998,46,45.799999
46.950001,46.950001,46.450001,46.099998,46
47.349998,46.950001,46.950001,46.450001,46.099998
47.200001,47.349998,46.950001,46.950001,46.450001
46.150002,47.200001,47.349998,46.950001,46.950001
46.25,46.150002,47.200001,47.349998,46.950001
46.150002,46.25,46.150002,47.200001,47.349998
44.849998,46.150002,46.25,46.150002,47.200001
44.299999,44.849998,46.150002,46.25,46.150002
44.349998,44.299999,44.849998,46.150002,46.25
43.900002,44.349998,44.299999,44.849998,46.150002
43.099998,43.900002,44.349998,44.299999,44.849998
43.400002,43.099998,43.900002,44.349998,44.299999
43.549999,43.400002,43.099998,43.900002,44.349998
43.650002,43.549999,43.400002,43.099998,43.900002
43.200001,43.650002,43.549999,43.400002,43.099998
42,43.200001,43.650002,43.549999,43.400002
42.549999,42,43.200001,43.650002,43.549999
41.400002,42.549999,42,43.200001,43.650002
41,41.400002,42.549999,42,43.200001
39.799999,41,41.400002,42.549999,42
38.25,39.799999,41,41.400002,42.549999
37.5,38.25,39.799999,41,41.400002
35.650002,37.5,38.25,39.799999,41
39.200001,35.650002,37.5,38.25,39.799999
38.099998,39.200001,35.650002,37.5,38.25
39,38.099998,39.200001,35.650002,37.5
39.200001,39,38.099998,39.200001,35.650002
38.799999,39.200001,39,38.099998,39.200001
38.700001,38.799999,39.200001,39,38.099998
39.099998,38.700001,38.799999,39.200001,39
39.400002,39.099998,38.700001,38.799999,39.200001
38.599998,39.400002,39.099998,38.700001,38.799999
39.049999,38.599998,39.400002,39.099998,38.700001
39.900002,39.049999,38.599998,39.400002,39.099998
42,39.900002,39.049999,38.599998,39.400002
42,42,39.900002,39.049999,38.599998
42.150002,42,42,39.900002,39.049999
41.900002,42.150002,42,42,39.900002
42.700001,41.900002,42.150002,42,42
43.349998,42.700001,41.900002,42.150002,42
43.25,43.349998,42.700001,41.900002,42.150002
43.5,43.25,43.349998,42.700001,41.900002
43.349998,43.5,43.25,43.349998,42.700001
42.25,43.349998,43.5,43.25,43.349998
41.549999,42.25,43.349998,43.5,43.25
41.599998,41.549999,42.25,43.349998,43.5
41.700001,41.599998,41.549999,42.25,43.349998
42.25,41.700001,41.599998,41.549999,42.25
42.049999,42.25,41.700001,41.599998,41.549999
42.75,42.049999,42.25,41.700001,41.599998
42.161116262279506,42.049999,42.25,41.700001,41.599998
42.2752771772441,42.161116262279506,42.049999,42.25,41.700001
42.340016794774186,42.2752771772441,42.161116262279506,42.049999,42.25
42.42564111348694,42.34001679477418,42.2752771772441,42.161116262279506,42.049999
42.50656877467814,42.42564111348694,42.34001679477418,42.2752771772441,42.161116262279506
42.5815267474817,42.506568774678136,42.42564111348694,42.34001679477418,42.2752771772441
42.6550938737224,42.581526747481696,42.506568774678136,42.42564111348694,42.34001679477418
42.72537002317847,42.6550938737224,42.581526747481696,42.506568774678136,42.42564111348694
42.79254336407916,42.72537002317847,42.6550938737224,42.581526747481696,42.506568774678136
42.857004765934235,42.79254336407916,42.72537002317847,42.6550938737224,42.581526747481696
